a00;colera
a168;outras formas tuberculose vias respiratorias sem mencao confirmacao bacteriologica histologica
a169;tuberculose respiratoria nao especificada sem mencao confirmacao bacteriologica histologica
a17;tuberculose sistema nervoso
a170;meningite tuberculosa
a171;tuberculoma meningeo
a178;outras tuberculoses sistema nervoso
a179;tuberculose nao especificada sistema nervoso
a18;tuberculose outros orgaos
a180;tuberculose ossea articulacoes
a181;tuberculose aparelho geniturinario
a182;linfadenopatia tuberculosa periferica
a183;tuberculose intestino peritonio ganglios mesentericos
a184;tuberculose pele tecido celular subcutaneo
a185;tuberculose olho
a186;tuberculose ouvido
a187;tuberculose supra renais
a188;tuberculose outros orgaos especificados
a19;tuberculose miliar
a190;tuberculose miliar aguda localizacao unica especificada
a191;tuberculose miliar aguda multiplas localizacoes
a192;tuberculose miliar aguda nao especificada
a198;outras tuberculoses miliares
a199;tuberculose miliar nao especificada
a20;peste
a200;peste bubonica
a201;peste celulocutanea
a202;peste pneumonica
a203;peste meningea
a207;peste septicemica
a208;outras formas peste
a209;peste forma nao especificada
a21;tularemia
a210;tularemia ulceroglandular
a211;tularemia oculoglandular
a212;tularemia pulmonar
a213;tularemia gastrointestinal
a217;tularemia generalizada
a218;outras formas tularemia
a219;tularemia forma nao especificada
a22;carbunculo
a220;carbunculo cutaneo
a221;carbunculo pulmonar
a222;carbunculo gastrointestinal
a227;septicemia carbunculosa
a228;outras formas carbunculo
a229;carbunculo forma nao especificada
a23;brucelose
a230;brucelose brucella melitensis
a231;brucelose brucella abortus
a232;brucelose brucella suis
a233;brucelose brucella canis
a238;outras bruceloses
a239;brucelose nao especificada
a24;mormo melioidose
a240;mormo
a241;melioidose aguda fulminante
a242;melioidose subaguda cronica
a243;outras melioidoses
a244;melioidose nao especificada
a25;febres transmitidas mordedura rato
a250;espirilose
a251;estreptobacilose
a259;febre transmitida mordedura rato tipo nao especificado
a26;erisipeloide
a260;erisipeloide cutaneo
a267;septicemia erysipelothrix
a268;outras formas erisipeloide
a269;erisipeloide nao especificado
a27;leptospirose
a270;leptopirose icterohemorragica
a278;outras formas leptospirose
a279;leptospirose nao especificada
a28;outras doencas bacterianas zoonoticas nao classificadas outra parte
a280;pasteurelose
a281;doenca arranhadura gato
a282;yersiniose extra intestinal
a288;outras doencas bacterianas zoonoticas especificadas nao classificadas outra parte
a289;doenca bacteriana zoonotica nao especificada
a30;hanseniase doenca hansen lepra
a300;hanseniase lepra indeterminada
a301;hanseniase lepra tuberculoide
a302;hanseniase lepra tuberculoide borderline
a303;hanseniase lepra dimorfa
a304;hanseniase lepra lepromatosa borderline
a305;hanseniase lepra lepromatosa
a308;outras formas hanseniase lepra
a309;hanseniase lepra nao especificada
a31;infeccoes devidas outras micobacterias
a310;infeccao pulmonar micobacteriana
a311;infeccao cutanea micobacteriana
a318;outras infeccoes micobacterianas
a319;infeccao micobacteriana nao especificada
a32;listeriose listeriase
a320;listeriose cutanea
a321;meningite meningoencefalite listeria
a327;septicemia listeriotica
a328;outras formas listeriose
a329;listeriose nao especificada
a33;tetano recem nascido neonatal
a34;tetano obstetrico
a35;outros tipos tetano
a36;difteria
a360;difteria faringea
a361;difteria nasofaringea
a362;difteria laringea
a363;difteria cutanea
a368;outras formas difteria
a369;difteria nao especificada
a37;coqueluche
a370;coqueluche bordetella pertussis
a371;coqueluche bordetella parapertussis
a378;coqueluche outras especies bordetella
a379;coqueluche nao especificada
a38;escarlatina
a39;infeccao meningogocica
a390;meningite meningococica
a391;sindrome waterhouse friderichsen
a392;meningococcemia aguda
a393;meningococcemia cronica
a394;meningococcemia nao especificada
a395;cardite meningococos
a398;outras infeccoes meningococos
a399;infeccao meningococica nao especificada
a40;septicemia estreptococica
a400;septicemia streptococcus grupo a
a401;septicemia streptococcus grupo b
a402;septicemia streptococcus grupo d
a403;septicemia streptococcus pneumonia
a408;outras septicemias estreptococicas
a409;septicemia estreptococica nao especificada
a41;outras septicemias
a410;septicemia staphylococcus aureus
a411;septicemia outros estafilococos especificados
a412;septicemia estafilococos nao especificados
a413;septicemia haemophilus influenzae
a414;septicemia anaerobios
a415;septicemia outros microorganismos gram negativos
a418;outras septicemias especificadas
a419;septicemia nao especificada
a42;actinomicose
a420;actinomicose pulmonar
a421;actinomicose abdominal
a422;actinomicose cervicofacial
a427;septicemia actinomicotica
a428;outras formas actinomicose
a429;actinomicose nao especificada
a43;nocardiose
a430;nocardiose pulmonar
a431;nocardiose cutanea
a438;outras formas nocardiose
a439;nocardiose nao especificada
a44;bartonelose
a440;bartonelose sistemica
a441;bartonelose cutanea cutaneo mucosa
a448;outras formas bartonelose
a449;bartonelose nao especificada
a46;erisipela
a48;outras doencas bacterianas nao classificadas outra parte
a480;gangrena gasosa
a481;doenca legionarios
a482;doenca legionarios nao pneumonica febre pontiac
a483;sindrome choque toxico
a484;febre purpurica brasil
a488;outras doencas bacterianas especificadas
a49;infeccao bacteriana localizacao nao especificada
a490;infeccao estafilococica localizacao nao especificada
a491;infeccao estreptococica localizacao nao especificada
a492;infeccao haemophilus influenzae localizacao nao especificada
a493;infeccao mycoplasma localizacao nao especificada
a498;outras infeccoes bacterianas localizacao nao especificada
a499;infeccao bacteriana nao especificada
a50;sifilis congenita
a500;sifilis congenita precoce sintomatica
a501;sifilis congenita precoce forma latente
a502;sifilis congenita precoce nao especificada
a503;oculopatia sifilitica congenita tardia
a504;neurossifilis congenita tardia neurossifilis juvenil
a505;outras formas tardias sintomaticas sifilis congenita
a506;sifilis congenita tardia latente
a507;sifilis congenita tardia nao especificada
a509;sifilis congenita nao especificada
a51;sifilis precoce
a510;sifilis genital primaria
a511;sifilis anal primaria
a512;sifilis primaria outras localizacoes
a513;sifilis secundaria pele mucosas
a514;outras formas sifilis secundaria
a515;sifilis precoce latente
a519;sifilis precoce nao especificada
a52;sifilis tardia
a520;sifilis cardiovascular
a521;neurossifilis sintomatica
a522;neurossifilis assintomatica
a523;neurossifilis nao especificada
a527;outras formas sifilis tardia sintomatica
a528;sifilis tardia latente
a529;sifilis tardia nao especificada
a53;outras formas nao especificadas sifilis
a530;sifilis latente nao especificada se recente tardia
a539;sifilis nao especificada
a54;infeccao gonococica
a540;infeccao gonococica trato geniturinario inferior sem abscesso periuretral glandulas acessorias
a541;infeccao gonococica trato geniturinario inferior abscesso periuretral glandulas acessorias
a542;pelviperitonite gonococica outras infeccoes geniturinarias gonococicas
a543;infeccao gonococica olho
a544;infeccao gonococica sistema musculo esqueletico
a545;faringite gonococica
a546;infeccao gonococica anus reto
a548;outras infeccoes gonococicas
a549;infeccao gonococica nao especificada
a55;linfogranuloma venereo clamidia
a56;outras infeccoes causadas clamidias transmitidas via sexual
a560;infeccoes clamidias trato geniturinario inferior
a561;infeccao clamidias pelviperitonial outros orgaos geniturinarios
a562;infeccao clamidias trato geniturinario localizacao nao especificada
a563;infeccao anus reto clamidias
a564;infeccao faringe clamidias
a568;infeccao clamidias transmitida via sexual outras localizacoes
a57;cancro mole
a58;granuloma inguinal
a59;tricomoniase
a590;tricomoniase urogenital
a598;outras localizacoes tricomoniase
a599;tricomoniase nao especificada
a60;infeccoes anogenitais pelo virus herpes herpes simples
a600;infeccao orgaos genitais trato geniturinario pelo virus herpes
a601;infeccao margem cutanea anus reto pelo virus herpes
a609;infeccao anogenital nao especificada pelo virus herpes
a63;outras doencas transmissao predominantemente sexual nao classificadas outra parte
a630;verrugas anogenitais venereas
a638;outras doencas especificadas transmissao predominantemente sexual
a64;doencas sexualmente transmitidas nao especificadas
a65;sifilis nao venerea
a66;bouba
a660;lesoes iniciais bouba
a661;papilomas multiplos bouba plantar umida cravo bouba
a662;outras lesoes cutaneas precoces bouba
a663;hiperceratose devida bouba
a664;gomas ulceras devidas bouba
a665;gangosa
a666;lesoes osteoarticulares devidas bouba
a667;outras manifestacoes bouba
a668;bouba latente
a669;bouba nao especificada
a67;pinta carate
a670;lesoes primarias pinta
a671;lesoes intermediarias pinta
a672;lesoes tardias pinta
a673;lesoes mistas pinta
a679;pinta nao especificada
a68;febres recorrentes borrelioses
a680;febre recorrente transmitida piolhos
a681;febre recorrente transmitida carrapatos
a689;febre recorrente nao especificada
a69;outras infeccoes espiroquetas
a690;estomatite ulcerativa necrotizante
a691;outras infeccoes vincent
a692;doenca lyme
a698;outras infeccoes especificadas espiroquetas
a699;infeccao espiroqueta nao especificada
a70;infeccoes causadas clamidia psittaci
a71;tracoma
a710;fase inicial tracoma
a711;fase ativa tracoma
a719;tracoma nao especificado
a74;outras doencas causadas clamidias
a740;conjuntivite causada clamidias
a748;outras doencas causadas clamidias
a749;infeccao causada clamidias nao especificada
a75;tifo exantematico
a750;tifo epidemico transmitido piolhos devido rickettsia prowazekii
a751;tifo recrudescente doenca brill
a752;tifo rickettsia typhi
a753;tifo rickettsia tsutsugamuchi
a759;tifo nao especificado
a77;febre maculosa rickettsioses transmitidas carrapatos
a770;febre maculosa rickettsia richettsii
a771;febre maculosa rickettsia conorii
a772;febre maculosa devida rickettsia siberica
a773;febre maculosa devida rickettsia australis
a778;outras febres maculosas
a779;febre maculosa nao especificada
a78;febre q
a79;outras rickettsioses
a790;febre trincheiras
a791;rickettsiose variceliforme devida rickettsia akari
a798;outros tipos rickettsioses especificadas
a799;rickettsiose nao especificada
a80;poliomielite aguda
a800;poliomielite paralitica aguda associada ao virus vacinal
a801;poliomielite paralitica aguda virus selvagem importado
a802;poliomielite paralitica aguda virus selvagem indigena
a803;poliomielites paraliticas agudas outras nao especificadas
a804;poliomielite aguda nao paralitica
a809;poliomielite aguda nao especificada
a81;infeccoes virus atipicos sistema nervoso central
a810;doenca creutzfeldt jakob
a811;panencefalite esclerosante subaguda
a812;leucoencefalopatia multifocal progressiva
a818;outras infeccoes virus atipicos sistema nervoso central
a819;infeccao nao especificada sistema nervosos central virus atipicos
a82;raiva
a820;raiva silvestre
a821;raiva urbana
a829;raiva nao especificada
a83;encefalite virus transmitidos mosquitos
a830;encefalite japonesa
a831;encefalite equina ocidental
a832;encefalite equina oriental
a833;encefalite st. louis
a834;encefalite australiana
a835;encefalite california
a836;doenca pelo virus rocio
a838;outras encefalites virus transmitidas mosquitos
a839;encefalite nao especificada virus transmitida mosquitos
a84;encefalite virus transmitido carrapatos
a840;encefalite taiga encefalite vernoestival russa
a841;encefalite europa central transmitida carrapatos
a848;outras encefalites virus transmitidas carrapatos
a849;encefalite nao especificada virus transmitida carrapatos
a85;outras encefalites virais nao classificadas outra parte
a850;encefalite enterovirus
a851;encefalite adenovirus
a852;encefalite virus transmitido artropodes nao especificada
a858;outras encefalites virais especificadas
a86;encefalite viral nao especificada
a87;meningite viral
a870;meningite enterovirus
a871;meningite adenovirus
a872;coriomeningite linfocitaria
a878;outras meningites virais
a879;meningite viral nao especificada
a88;outras infeccoes virais sistema nervoso central nao classificadas outra parte
a880;febre exantematica enterovirus exantema boston
a881;vertigem epidemica
a888;outras infeccoes virais especificadas sistema nervoso central
a89;infeccoes virais nao especificadas sistema nervoso central
a90;dengue dengue classico
a91;febre hemorragica devida ao virus dengue
a92;outras febres virais transmitidas mosquitos
a920;febre chikungunya
a921;febre o'nyong nyong
a922;febre equina venezuelana
a923;infeccao pelo virus west nile
a924;febre vale rift
a928;outras febres virais especificadas transmitidas mosquitos
a929;febre viral transmitida mosquitos nao especificada
a93;outras febres virus transmitidas artropodes nao classificadas outra parte
a930;febre oropouche
a931;febre flebotomos
a932;febre colorado transmitida carrapatos
a938;outras febres virais especificadas transmitidas artropodes
a94;febre viral transmitida artropodes nao especificada
a95;febre amarela
a950;febre amarela silvestre
a951;febre amarela urbana
a959;febre amarela nao especificada
a96;febre hemorragica arenavirus
a960;febre hemorragica junin
a961;febre hemorragica machupo
a962;febre lassa
a968;outras febres hemorragicas arenavirus
a969;febre hemorragica arenavirus nao especificada
a98;outras febres hemorragicas virus nao classificadas outra parte
a980;febre hemorragica crimeia congo
a981;febre hemorragica omsk
a982;doenca floresta kyasanur
a983;doenca marburg
a984;doenca pelo virus ebola
a985;febre hemorragica sindrome renal
a988;outras febres hemorragicas especificadas virus
a99;febres hemorragicas virais nao especificadas
b00;infeccoes pelo virus herpes herpes simples
b000;eczema herpetico
b001;dermatite vesicular devido ao virus herpes
b002;gengivoestomatite faringoamigdalite devida ao virus herpes
b003;meningite devida ao virus herpes
b004;encefalite devida ao virus herpes
b005;afeccoes oculares devidas ao virus herpes
b007;doenca disseminada devida ao virus herpes
b008;outras formas infeccao devida ao virus herpes
b009;infeccao nao especificada devida ao virus herpes
b01;varicela catapora
b010;meningite varicela
b011;encefalite varicela
b012;pneumopatia varicelosa
b018;varicela outras complicacoes
b019;varicela sem complicacao
b02;herpes zoster zona
b020;encefalite pelo virus herpes zoster
b021;meningite pelo virus herpes zoster
b022;herpes zoster acompanhado outras manifestacoes neurologicas
b023;herpes zoster oftalmico
b027;herpes zoster disseminado
b028;herpes zoster outras complicacoes
b029;herpes zoster sem complicacao
b03;variola
b04;variola macacos monkeypox
b05;sarampo
b050;sarampo complicado encefalite
b051;sarampo complicado meningite
b052;sarampo complicado pneumonia
b053;sarampo complicado otite media
b054;sarampo complicacoes intestinais
b058;sarampo outras complicacoes
b059;sarampo sem complicacao
b06;rubeola
b060;rubeola complicacoes neurologicas
b068;rubeola outras complicacoes
b069;rubeola sem complicacao
b07;verrugas origem viral
b08;outras infeccoes virais caracterizadas lesoes pele membranas mucosas nao classificadas outra parte
b080;outras infeccoes ortopoxvirus
b081;molusco contagioso
b082;exantema subito sexta doenca
b083;eritema infeccioso quinta doenca
b084;estomatite vesicular devida enterovirus exantema
b085;faringite vesicular devida enterovirus
b088;outras infeccoes virais especificadas caracterizadas lesoes pele membranas mucosas
b09;infeccao viral nao especificada caracterizada lesoes pele membranas mucosas
b15;hepatite aguda a
b150;hepatite coma hepatico
b159;hepatite sem coma hepatico
b16;hepatite aguda b
b160;hepatite aguda b agente delta co infeccao coma hepatico
b161;hepatite aguda b agente delta co infeccao sem coma hepatico
b162;hepatite aguda b sem agente delta coma hepatico
b169;hepatite aguda b sem agente delta sem coma hepatico
b17;outras hepatites virais agudas
b170;super infeccao delta aguda portador hepatite b
b171;hepatite aguda c
b172;hepatite aguda e
b178;outras hepatites virais agudas especificadas
b18;hepatite viral cronica
b180;hepatite viral cronica b agente delta
b181;hepatite cronica viral b sem agente delta
b182;hepatite viral cronica c
b188;outras hepatites cronicas virais
b189;hepatite viral cronica nao especificada
b19;hepatite viral nao especificada
b190;hepatite viral nao especificada coma
b199;hepatite viral nao especificada sem coma
b20;doenca pelo virus imunodeficiencia humana hiv resultando doencas infecciosas parasitarias
b200;doenca pelo hiv resultando infeccoes micobacterianas
b201;doenca pelo hiv resultando outras infeccoes bacterianas
b202;doenca pelo hiv resultando doenca citomegalica
b203;doenca pelo hiv resultando outras infeccoes virais
b204;doenca pelo hiv resultando candidiase
b205;doenca pelo hiv resultando outras micoses
b206;doenca pelo hiv resultando pneumonia pneumocystis jirovecii
b207;doenca pelo hiv resultando infeccoes multiplas
b208;doenca pelo hiv resultando outras doencas infecciosas parasitarias
b209;doenca pelo hiv resultando doenca infecciosa parasitaria nao especificada
b21;doenca pelo virus imunodeficiencia humana hiv resultando neoplasias malignas
b210;doenca pelo hiv resultando sarcoma kaposi
b211;doenca pelo hiv resultando linfoma burkitt
b212;doenca pelo hiv resultando outros tipos linfoma nao hodgkin
b213;doenca pelo hiv resultando outras neoplasias malignas tecidos linfatico hematopoetico correlatos
b217;doenca pelo hiv resultando multiplas neoplasias malignas
b218;doenca pelo hiv resultando outras neoplasias malignas
b219;doenca pelo hiv resultando neoplasia maligna nao especificada
b22;doenca pelo virus imunodeficiencia humana hiv resultando outras doencas especificadas
b220;doenca pelo hiv resultando encefalopatia
b221;doenca pelo hiv resultando pneumonite intersticial linfatica
b222;doenca pelo hiv resultando sindrome emaciacao
b227;doenca pelo hiv resultando doencas multiplas classificadas outra parte
b23;doenca pelo virus imunodeficiencia humana hiv resultando outras doencas
b230;sindrome infeccao aguda pelo hiv
b231;doenca pelo hiv resultando linfadenopatias generalizadas persistentes
b232;doenca pelo hiv resultando anomalias hematologicas imunologicas nao classificadas outra parte
b238;doenca pelo hiv resultando outra afeccoes especificadas
b24;doenca pelo virus imunodeficiencia humana hiv nao especificada
b25;doenca citomegalovirus
b250;pneumonite citomegalovirus
b251;hepatite citomegalovirus
b252;pancreatite citomegalovirus
b258;outras doencas citomegalovirus
b259;doenca nao especificada citomegalovirus
b26;caxumba parotidite epidemica
b260;orquite caxumba parotidite epidemica
b261;meningite caxumba parotidite epidemica
b262;encefalite caxumba parotidite epidemica
b263;pancreatite caxumba parotidite epidemica
b268;caxumba parotidite epidemica outras complicacoes
b269;caxumba parotidite epidemica sem complicacoes
b27;mononucleose infecciosa
b270;mononucleose pelo virus herpes gama
b271;mononucleose citomegalovirus
b278;outras mononucleoses infecciosas
b279;mononucleose infecciosa nao especificada
b30;conjuntivite viral
b300;ceratoconjuntivite devida adenovirus
b301;conjuntivite devida adenovirus
b302;faringoconjuntivite viral
b303;conjuntivite hemorragica aguda endemica enterovirus
b308;outras conjuntivites virais
b309;conjuntivite viral nao especificada
b33;outras doencas virus nao classificada outra parte
b330;mialgia epidemica
b331;doenca ross river
b332;cardite viral
b333;infeccao retrovirus nao classificada outra parte
b334;sindrome cardio pulmonar hantavirus sph scph
b338;outras doencas especificadas virus
b34;doencas virus localizacao nao especificada
b340;infeccao adenovirus localizacao nao especificada
b341;infeccao enterovirus localizacao nao especificada
b342;infeccao coronavirus localizacao nao especificada
b343;infeccao parvovirus localizacao nao especificada
b344;infeccao papovavirus localizacao nao especificada
b348;outras infeccoes virus localizacao nao especificada
b349;infeccao viral nao especificada
b35;dermatofitose
b350;tinha barba couro cabeludo
b351;tinha unhas
b352;tinha mao
b353;tinha pes
b354;tinha corpo
b355;tinha imbricada
b356;tinea cruris
b358;outras dermatofitoses
b359;dermatofitose nao especificada
b36;outras micoses superficiais
b360;pitiriase versicolor
b361;tinha negra
b362;piedra branca
b363;piedra negra
b368;outras micoses superficiais especificadas
b369;micose superficial nao especificada
b37;candidiase
b370;estomatite candida
b371;candidiase pulmonar
b372;candidiase pele unhas
b373;candidiase vulva vagina
b374;candidiase outras localizacoes urogenitais
b375;meningite candida
b376;endocardite candida
b377;septicemia candida
b378;candidiase outras localizacoes
b379;candidiase nao especificada
b38;coccidioidomicose
b380;coccidioidomicose pulmonar aguda
b381;coccidioidomicose pulmonar cronica
b382;coccidioidomicose pulmonar nao especificada
b383;coccidioidomicose cutanea
b384;meningite coccidioidomicose
b387;coccidioidomicose disseminada
b388;outras formas coccidioidomicose
b389;coccidioidomicose nao especificada
b39;histoplasmose
b390;histoplasmose pulmonar aguda histoplasma capsulatum
b391;histoplasmose pulmonar cronica histoplasma capsulatum
b392;histoplasmose pulmonar nao especificada histoplasma capsulatum
b393;histoplasmose disseminada histoplasma capsulatum
b394;histoplasmose nao especificada histoplasma capsulatum
b395;histoplasmose histoplasma duboisii
b399;histoplasmose nao especificada
b40;blastomicose
b400;blastomicose pulmonar aguda
b401;blastomicose pulmonar cronica
b402;blastomicose pulmonar nao especificada
b403;blastomicose cutanea
b407;blastomicose disseminada
b408;outras formas blastomicose
b409;blastomicose nao especificada
b41;paracoccidioidomicose
b410;paracoccidioidomicose pulmonar
b417;paracoccidioidomicose disseminada
b418;outras formas paracoccidioidomicose
b419;paracoccidioidomicose nao especificada
b42;esporotricose
b420;esporotricose pulmonar
b421;esporotricose linfocutanea
b427;esporotricose disseminada
b428;outras formas esporotricose
b429;esporotricose nao especificada
b43;cromomicose abscesso feomicotico
b430;cromomicose cutanea
b431;abscesso cerebral feomicotico
b432;abscesso cisto feomicotico subcutaneos
b438;outras formas cromomicose
b439;cromomicose nao especificada
b44;aspergilose
b440;aspergilose pulmonar invasiva
b441;outras aspergiloses pulmonares
b442;aspergilose amigdaliana
b447;aspergilose disseminada
b448;outras formas aspergilose
b449;aspergilose nao especificada
b45;criptococose
b450;criptococose pulmonar
b451;criptococose cerebral
b452;criptococose cutanea
b453;criptococose ossea
b457;criptococose disseminada
b458;outras formas criptococose
b459;criptococose nao especificada
b46;zigomicose
b460;mucormicose pulmonar
b461;mucormicose rinocerebral
b462;mucormicose gastrointestinal
b463;mucormicose cutanea
b464;mucormicose disseminada
b465;mucormicose nao especificada
b468;outras zigomicoses
b469;zigomicose nao especificada
b47;micetoma
b470;eumicetoma
b471;actinomicetoma
b479;micetoma nao especificado
b48;outras micoses nao classificadas outra parte
b480;lobomicose
b481;rinosporidiose
b482;alesqueriose
b483;geotricose
b484;penicilose
b487;micoses oportunistas
b488;outras micoses especificadas
b49;micose nao especificada
b50;malaria plasmodium falciparum
b500;malaria plasmodium falciparum complicacoes cerebrais
b508;outras formas graves complicadas malaria plasmodium falciparum
b509;malaria nao especificada plasmodium falciparum
b51;malaria plasmodium vivax
b510;malaria plasmodium vivax rotura baco
b518;malaria plasmodium vivax outras complicacoes
b519;malaria plasmodium vivax sem complicacoes
b52;malaria plasmodium malariae
b520;malaria plasmodium malariae nefropatia
b528;malaria plasmodium malariae outras complicacoes
b529;malaria plasmodium malariae sem complicacoes
b53;outras formas malaria confirmadas exames parasitologicos
b530;malaria plasmodium ovale
b531;malaria plasmodios macacos
b538;outras formas malarias confirmacao parasitologica nao classificadas outra parte
b54;malaria nao especificada
b55;leishmaniose
b550;leishmaniose visceral
b551;leishmaniose cutanea
b552;leishmaniose cutaneo mucosa
b559;leishmaniose nao especificada
b56;tripanossomiase africana
b560;tripanossomiase trypanosoma gambiense
b561;tripanossomiase trypanosoma rhodesiense
b569;tripanossomiase africana nao especificada
b57;doenca chagas
b570;forma aguda doenca chagas comprometimento cardiaco
b571;forma aguda doenca chagas sem comprometimento cardiaco
b572;doenca chagas cronica comprometimento cardiaco
b573;doenca chagas cronica comprometimento aparelho digestivo
b574;doenca chagas cronica comprometimento sistema nervoso
b575;doenca chagas cronica comprometimento outros orgaos
b58;toxoplasmose
b580;oculopatia toxoplasma
b581;hepatite toxoplasma
b582;meningoencefalite toxoplasma
b583;toxoplasmose pulmonar
b588;toxoplasmose comprometimento outros orgaos
b589;toxoplasmose nao especificada
b59;pneumocistose
b60;outras doencas devidas protozoarios nao classificadas outra parte
b600;babesiose
b601;acantamebiase
b602;naegleriase
b608;outras doencas especificadas devidas protozoarios
b64;doenca nao especificada devida protozoarios
b65;esquistossomose bilharziose schistosomiase
b650;esquistossomose devida ao schistosoma haematobium esquistossomose urinaria
b651;esquistossomose devida ao schistosoma mansoni esquistossomose intestinal
b652;esquistossomose devida ao schistosoma japonicum
b653;dermatite cercarias
b658;outras esquistossomoses
b659;esquistossomose nao especificada
b66;outras infestacoes trematodeos
b660;opistorquiase
b661;clonorquiase
b662;dicroceliase
b663;fascioliase
b664;paragonimiase
b665;fasciolopsiase
b668;outras infestacoes trematodeos especificados
b669;infeccao nao especificada trematodeo
b67;equinococose
b670;infestacao hepatica echinococcus granulosus
b671;infestacao pulmonar echinococcus granulosus
b672;infestacao ossea echinococcus granulosus
b673;infestacoes echinmococcus granulosus outras localizacoes multiplas
b674;infestacao nao especificada echinococcus granulosus
b675;infestacao hepatica echinococcus multilocularis
b676;infeccoes echinococcus multilocularis outras localizacoes multiplas
b677;infestacao nao especificada echinococcus multilocularis
b678;infestacao hepatica nao especificada echinococcus
b679;infestacoes echinococcus outras nao especificadas
b68;infestacao taenia
b680;infestacao taenia solium
b681;infestacao taenia saginata
b689;infestacao nao especificada taenia
b69;cisticercose
b690;cisticercose sistema nervoso central
b691;cisticercose olho
b698;cisticercose outras localizacoes
b699;cisticercose nao especificada
b70;difilobotriase esparganose
b700;difilobotriase
b701;esparganose
b71;outras infestacoes cestoides
b710;infestacao hymenolepis
b711;infestacao dipylidium
b718;outras infestacoes especificadas cestoides
b719;infestacao nao especificada cestoides
b72;dracontiase
b73;oncocercose
b74;filariose
b740;filariose wuchereria bancrofti
b741;filariose brugia malayi
b742;filariose brugia timori
b743;loaiase
b744;mansonelose
b748;outras filarioses
b749;filariose nao especificada
b75;triquinose
b76;ancilostomiase
b760;ancilostomose
b761;necatoriase
b768;outras ancilostomiases
b769;ancilostomiase nao especificada
b77;ascaridiase
b770;ascaridiase complicacoes intestinais
b778;ascaridiase outras complicacoes
